Column,Our Objectives,2018 Performance
Profitable Growth,"• Be a market leader
in all aspects of our
business: insurance, asset
management, and property
development.","• Most of our businesses reported
revenue growth in 2018 (except South
Sudan).
• Regional entities contributed 18 percent
of the total revenue."
Customer Service,"• Ensure that customers are
at the centre of everything
that we do.","• Increased customer interactions through
the 24-hour Contact Centre and CRM.
• Through the customer portal, customers
can access products and their
statements."
Innovation,"• Maintain market leadership
by embedding innovation in
our core business.","• Creation of various Portals such as
customer, FA etc
• Increase in customers interacting with
our online Customer Portal.
• More than two thirds of our Financial
Advisors utilizing our FA Portal.
• Launch of the Britam Mobile App."
Operational Excellence,"• Improve operational
efficiency and cost-to-
income ratio to 20 percent
by 2020.","• Operational efficiencies achieved
through:
• The rollout of systems e.g. INSIS,
ImageNow, and IPA to improve
process efficiency.
• Work motion study to re-align our
operating model.
• Revised policies e.g. Credit Control
Policy."
Enabling Transformation,"• Undergo a transformational
change, supported by
the best talent, a high
performance culture, and an
IT ecosystem.","• Successful rollout of our Core IT
platforms e.g. ERP, Taleo, iSupply, INSIS
and Moneyware System.
• Focus on high performance based (on
revised performance matrix across the
Group) and revised incentive structures
and talent management framework."
