Level 1,Level 2,Level 3,Total
Shs’000,Shs’000,Shs’000,Shs’000
"10,547,549",-,-,"10,547,549"
-,-,"46,617","46,617"
-,"74,050,579",-,"74,050,579"
-,"5,054,402",-,"5,054,402"
"6,716,098",-,-,"6,716,098"
-,-,"665,784","665,784"
-,-,"16,597,058","16,597,058"
"17,263,647","79,104,981","17,309,459","113,678,087"
-,"4,276,660",-,"4,276,660"
-,"4,276,660",-,"4,276,660"
