Stakeholders,Why we engage,How we engage,Stakeholder interest,Desired Outcome
Customers,"Understand needs,
improve service,
build loyalty","Surveys, events,
online portals,
direct engagement","Affordable, accessible
insurance, personalized
experience","Increased retention, fi-
nancial protection"
Employees,"Attract and retain talent,
foster collaboration,
enhance job satisfaction","Engagement surveys,
training, direct
communication","Career growth,
competitive
compensation, well-being","Enhanced productivity,
innovation"
Wider Community,"Create social value, raise
awareness of Britam’s
services","Industry forums, work-
shops, sponsorships,
donations","Community development,
financial literacy","Strengthened partner-
ships, increased access
to insurance"
Suppliers and Partners,"Ensure alignment with
ESG principles, foster
innovation","Supplier Code of
Conduct, meetings,
performance feedback","Ethical practices, trans-
parency, collaboration","Strong supplier rela-
tionships, ESG-aligned
procurement"
"Government and Reg-
ulators","Compliance, policy
advocacy, maintain
corporate reputation","Direct engagement,
sustainability reports","Regulatory compliance,
ethical business conduct","Policy alignment, positive
corporate reputation"
"Investors and share-
holders","Ensure transparency,
drive investor confidence","Annual reports, AGMs,
investor calls","Strong governance, high
returns, ESG transparency","Sustainable financial
performance, investor
trust"
