Fund,31 December 2010,30 April 2011
Equity Fund,"2,139","1,831"
Balanced Fund,658,600
Money Market Fund,"1,171","1,278"
Income Fund,285,329
Managed Retirement Fund,42,42
"Others (inc. Wealth Management &
Discretionary Management)",22,24
Total,"4,317","4,104"
