Column,Column,"64,560
(169,315)
259,299
(190,712)
(1,246,208)",Column,"(75,926)
343,479
22,923
(66,445)
474,102
175,268",Column
10,",371",,"(54,189)",,"21,737"
230,",389",,"399,704",,"56,225"
659,",185",,"399,886",,"376,963"
"(547,",478),,"(356,766)",,"(290,321)"
,-,,-,,"(474,102)"
"(3,359,",125),,"(2,112,917)",,"(2,288,185)"
"(3,006,",658),"(1,282,376)","(1,724,282)","873,401","(2,597,683)"
,,"-
(1,371,605)
89,229",,"590,421
-
282,980",
,,"(1,282,376)",,"873,401",
,,"17,818
(1,300,194)",,"202,012
671,389",
"388,120",,,"370,302",,"168,290"
"(3,394,778)",,,"(2,094,584)",,"(2,765,973)"
"(3,006,658)",,"(1,282,376)","(1,724,282)","873,401","(2,597,683)"
