2023,Column,Column,Column
"Present value
of future
cashflows","Risk
adjustment for
non-financial
risk","Contracts
service margin",Total
"17,570,260","551,744","5,235,769","23,357,773"
"17,570,260","551,744","5,235,769","23,357,773"
-,-,"(826,686)","(826,686)"
-,"(275,437)",-,"(275,437)"
"(1,909,435)",-,-,"(1,909,435)"
"(1,909,435)","(275,437)","(826,686)","(3,011,558)"
"447,422","56,510","(503,932)",-
"891,599","27,841",-,"919,440"
"(1,150,815)","201,185","1,079,406","129,776"
"188,206","285,536","575,474","1,049,216"
"84,472","(2,503)",-,"81,969"
"(1,636,757)","7,596","(251,212)","(1,880,373)"
"(512,907)","13,257","741,611","241,961"
"(2,149,664)","20,853","490,399","(1,638,412)"
"25,649",386,-,"26,035"
"10,652,465",-,-,"10,652,465"
"(7,089,858)",-,-,"(7,089,858)"
"3,562,607",-,-,"3,562,607"
"19,008,852","572,983","5,726,168","25,308,003"
