Volume,No. of Shares,% Shares Held,"No. of
Shareholders"
1 to 500,"191,770",0.01,689
"501 to 5,000","51,463,700",2.72,"20,419"
"5,001 to 10,000","25,299,300",1.34,"3,200"
"10,001 to 100,000","63,731,780",3.37,"2,611"
"100,000 to 1,000,000","46,881,500",2.48,168
"1,000,001 and above","1,703,883,800",90.08,42
Total,"1,891,451,850",100.00%,"27,129"
