Asset class,"Drivers of
change in credit
quality",Qualitative indicators assessed
"Receivables arising from
direct and reinsurance
arrangements",30 days past due,"Company closure, significant decline in the industry which the client
operates, listing on credit reference bureau, inability to service debt, loss of
income, among others."
"Cash at bank and deposits
with financial institutions","Downgrade to tie
four","Bank closure, bank run, default on debt, credit rating downgrade, material
adverse mention or investigation, change in bank tier, negative change in
debt ratios, debt covenant breach, regulator actions among others."
Government Securities,"Downgrade from
investment grade
to non-investment
grade as per the
external ratings","Credit rating downgrade, adverse political instability, military coup / attempt
/ civil turmoil, hyper inflationary trajectory, external war, significant fall in tax
collection rates, significant natural disaster events, warnings from Bretton
Woods Institutions, debt restructure, currency devaluation, unemployment
rate growth among others."
Corporate Debt,"Default in
contractual
cashflows","Credit rating downgrades, significant adverse political turmoil in country of
major operations, significant fall in revenue collection, significant natural
disaster events, debt restructure, material Adverse change (Change in
business model; significant change in priority staff), significant court process
interference on business model, insolvency, government agency takeover,
financial covenant breach, material representation inaccuracy or warranty
breach, material adverse mention, investigation among others."
Equities - Dividend Income,"Default in
contractual
cashflows","Company closure, default on debt, credit rating downgrade, adverse material
mention, change in balance sheet debt composition, debt covenant breach,
adverse change in business model, company insolvency among others."
Staff/ Non Staff Loans,"Default in
contractual
cashflows","Listing on credit reference bureau, inability to service debt, loss of income,
death, permanent disability, imprisonment, number of months in arrears
among others."
