Column,Column,"Amb. Dr.
Francis K.
Muthaura","Dr. Benson
I. Wairegi","Peter K.
Munga","Jimnah
M. Mbaru","Dr. James
N. Mwangi","Bocar
E. Dia","Nduva
Muli","Tarun
Ghulati","Agnes N.
Odhiambo","Dawood
A. Rawat","Moussa
I. Rawat","Samson
K. Kamau","Richard
K. Langat"
"Meetings and Attendance
During Tenure",,,,,,,"(Resigned
on 23 May
2014 )",,"(Resigned
on 23 May
2014 )",,"(Resigned
on 22
April 2015)","(Resigned
on 22
April
2015)","(Appointed
on 19
August
2014)","(Appointed
on 19
August
2014)"
Board,"Meetings
Held",15,15,15,15,15,6,15,6,15,15,15,2,2
,"Meetings
Attended",15,15,13,12,7,5,5,2,12,11,10,2,1
,% Attendance,100%,100%,86%,80%,46%,83%,33%,33%,80%,73%,66%,100%,50%
"Audit
Committee","Meetings
Held",N/A,N/A,4,N/A,4,N/A,4,N/A,4,N/A,N/A,N/A,N/A
,"Meetings
Attended",-,-,3,-,3,-,0,-,4,-,-,-,-
,% Attendance,-,-,75%,-,75%,-,0%,-,100%,-,-,-,-
"Investments
& Strategy
Committee","Meetings
Held",5,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Meetings
Attended",4,5,5,4,0,-,-,-,-,-,-,-,-
,% Attendance,80%,100%,100%,80%,0%,-,-,-,-,-,-,-,-
"Property
Committee",Meetings Held,N/A,5,5,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A
,"Meetings
Attended",-,5,5,2,-,-,5,-,-,-,-,-,-
,% Attendance,-,100%,100%,40%,-,-,100%,-,-,-,-,-,-
"ICT
Steering
Committee",Meetings Held,N/A,6,N/A,N/A,6,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
,"Meetings
Attended",-,6,-,-,1,-,6,-,-,-,-,-,-
,% Attendance,-,100%,-,-,16%,-,100%,-,-,-,-,-,-
"Compensa-
tion
& HR
Committee",Meetings Held,1,N/A,1,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A
,"Meetings
Attended",1,-,1,-,-,1,0,-,-,-,-,-,-
,% Attendance,100%,-,100%,-,-,100%,0%,-,-,-,-,-,-
"Procurement
Committee",Meetings Held,N/A,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A
,"Meetings
Attended",-,-,-,-,-,-,-,-,-,-,-,-,-
,% Attendance,-,-,-,-,-,-,-,-,-,-,-,-,-
"Risk &
Compliance
Committee",Meetings Held,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,2,N/A,N/A
,"Meetings
Attended",-,-,-,-,-,-,3,0,-,-,1,-,-
,% Attendance,-,-,-,-,-,-,100%,0%,-,-,50%,-,-
"Nomination &
Governance
Committee",Meetings Held,2,N/A,2,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Meetings
Attended",2,-,2,2,-,1,-,-,-,-,-,-,-
,% Attendance,100%,-,100%,100%,-,100%,-,-,-,-,-,-,-
