Shs'000,"Liabilities for Remaining
Coverage",Column,Liabilities for Incurred claims,Column,"Total
Shs'000"
,"Excluding loss
component","Loss
component","Estimates of
present value
of future cash
flows","Risk
adjustment for
non-financial
risk",
Opening insurance contract liabilities,"4,551,105","409,157","9,914,943","781,227","15,656,432"
Net Opening balance,"4,551,105","409,157","9,914,943","781,227","15,656,432"
Insurance revenue,,,,,
Full retrospective approach,"(18,113,642)",-,-,-,"(18,113,642)"
Total insurance revenue,"(18,113,642)",-,-,-,"(18,113,642)"
"Incurred insurance service expenses:
Claims
Expenses
Other movements related to current service
Amortisation of insurance acquisition cash flows
Changes that relate to past service (changes in
fulfilment cash flows re LIC)
Changes that relate to future service
Losses for the net outflow recognized on initial
recognition
Losses and reversal of losses on onerous contracts
- subsequent measurement",-,"(579,677)","7,695,994","254,607","7,370,924"
,-,"(579,677)","7,558,537","691,440","7,670,300"
,-,-,"137,457","56,827","194,284"
,-,-,-,"(493,660)","(493,660)"
,"2,491,270",-,-,-,"2,491,270"
,-,-,"1,309,048","(263,048)","1,046,000"
,-,"368,190",-,-,"368,190"
,-,"970,320",-,-,"970,320"
,-,"(602,130)",-,-,"(602,130)"
Total insurance service expenses,"2,491,270","(211,487)","9,005,042","(8,441)","11,276,384"
Total insurance service result,"(15,622,372)","(211,487)","9,005,042","(8,441)","(6,837,258)"
"Insurance finance income or expense
The effect of and changes in time of time value of
money and financial risk
Foreign exchange differences on change",,,,,
,-,-,"645,423","67,801","713,224"
,-,-,"168,177","8,762","176,939"
Total insurance finance income or expense,-,-,"813,600","76,563","890,163"
"Total changes in the statement of financial
profit or loss","(15,622,372)","(211,487)","9,818,642","68,122","(5,947,095)"
