Shs’000,"Liabilities for Remaining
Coverage",Column,"Liabilities for Incurred
claims",Column,Column
,"Excluding
loss
component","Loss
component","Estimates
of present
value of
future
cash flows","Risk
adjustment
for
non-
financial risk","Total
Shs’000"
Opening insurance contract assets,-,-,-,-,-
Opening insurance contract liabilities,"5,142,663","310,112","12,419,667","945,169","18,817,611"
Net Opening balance,"5,142,663","310,112","12,419,667","945,169","18,817,611"
"Insurance revenue
Full retrospective approach","-
(26,979,884)","-
-","-
-","-
-","-
(26,979,884)"
Total insurance revenue,"(26,979,884)",-,-,-,"(26,979,884)"
"Incurred insurance service expenses:
Claims
Expenses
Other movements related to current
service
Amortisation of insurance
acquisition cash flows
Changes that relate to past service
(changes in fulfilment cash flows
re LIC)
Changes that relate to future service
Losses for the net outflow recognized
on initial recognition
Losses and reversal of losses on
onerous contracts - subsequent
measurement","-
-
-
-
3,662,325
-
-
-
-","1,069,444
1,069,444
-
-
-
-
(915,914)
753,689
(1,669,603)","11,963,273
11,819,008
144,265
-
-
(165,874)
-
-
-","498,553
464,811
33,742
(84,762)
-
(408,323)
-
-
-","13,531,270
13,353,263
178,007
(84,762)
3,662,325
(574,197)
(915,914)
753,689
(1,669,603)"
Total insurance service expenses,"3,662,325","153,530","11,797,399","5,468","15,618,722"
Total insurance service result,"(23,317,559)","153,530","11,797,399","5,468","(11,361,162)"
"Insurance finance income or expense
The effect of and changes in time of
time value of money and financial risk
Foreign exchange differences on
change","-
-","7,280
-","1,720,954
549,047","107,587
15,837","1,835,821
564,884"
"Total insurance finance income or
expense",-,"7,280","2,270,001","123,424","2,400,705"
,-,-,-,-,-
"Total changes in the statement of
financial profit or loss","(23,317,559)","160,810","14,067,400","128,892","(8,960,457)"
