Column,Column,"34,198
-
-
-",Column,"7,698
2,319
(1,525)
(221)",Column,Column
,"14,778",,"4,729",,"61,403",
,65,,"15,349",,"17,733",
,-,,-,,"(1,525)",
,-,,-,,(221),
31 December 2016,"14,843","34,198","20,078","8,271","77,390",
"preciation
1 January 2016
arge for the year
nsfer to intangible (Note 24)",,"11,200
6,840
-",,"2,253
1,732
(357)",,
,"4,659",,"2,261",,"20,373",
,"1,412",,"3,682",,"13,666",
,-,,-,,(357),
31 December 2016,"6,071","18,040","5,943","3,628","33,682",
"t book value
31 December 2016",,"16,158",,"4,643",,
,"8,772",,"14,135",,"43,708",
15,,,,,,
"st or valuation
1 January 2015
ditions
posals
nsfer to intangibles (Note 24)
classifications",,"30,549
8,828
(5,179)
-
-",,"5,287
3,736
(1,168)
(157)
-",,
,"12,725",,"6,088",,"54,649",
,894,,614,,"14,072",
,-,,(814),,"(7,161)",
,-,,-,,(157),
,"1,159",,"(1,159)",,-,
31 December 2015,"14,778","34,198","4,729","7,698",,"61,403"
"preciation
1 January 2015
arge for the year
nsfer to intangibles (Note 24)
classification
posal",,,,"1,978
1,206
(92)
-
(839)",,
,,"10,855
5,524
-
-
(5,179)",,,,
,"2,635",,"2,772",,,"18,240"
,"1,305",,929,,,"8,964"
,-,,-,,,(92)
,719,,(719),,-,
,-,,(721),,"(6,739)",
31 December 2015,"4,659","11,200","2,261","2,253","20,373",
"t book value
31 December 2015",,"22,998",,"5,445",,
,"10,119",,"2,468",,"41,030",
