Stakeholders,Why we engage,How we engage,Stakeholder Interest,Desired outcome
Customers,"• To ensure the customer’s
needs are understood and
addressed
• To increase customer
loyalty and brand
reputation
• To streamline business
processes for better
customer service","• Customer satisfaction
survey
• Agents and Brokers
• Customer events
• In person engagement
• Online self - service portals
• Online channels","• Deliver exceptional service
& meet evolving needs","• Financial security,
tailored coverage,
cost-effectiveness"
Employees,"• To retain top talent
• To develop employees
to be brand advocates for
Britam
• To foster collaboration
among teams
• To deliver excellent
customer service
• To create opportunities for
employees to realize their
full potential","• Employee engagement
survey
• In – person interactions
• Email updates
• Social collaboration tools
• Anonymous feedback
platforms","• Attract & retain top talent,
foster a thriving work
environment","• Job satisfaction, growth
opportunities, excellent
customer service"
Local Community,"• To create long term value
to the environment and
community
• To create awareness
on Britam’s products and
services
• To demonstrate Britam’s
efforts in societal
contribution","• Meetings
• Events
• Workshops
• Industry forums
• Donations
• Sponsorships","• Create shared value
and contribute to social
well-being","• Community support,
financial inclusion,
awareness programs"
Suppliers and Partners,"• To ensure suppliers are
aligned with Britam’s
business and ESG
requirements
• To provide feedback to
suppliers on their
performance
• To foster collaboration
and innovation of new
insurance products","• Suppliers code of
conduct
• Portals
• Emails
• Conference calls
• Face – to face meetings","• Ensure alignment with
Britam’s values and goals","• Long-term partnerships,
innovation in product
development,
sustainability focus"
Government and Regulators,"• To ensure compliance
with all applicable and
relevant legislations and
regulations
• To maintain a positive
brand image of
responsible corporate
citizen
• To contribute to the
shaping regulatory
policies within the
insurance industry","• Reports
• Direct engagement key
government regulatory
and industry stakeholders","• Comply with regulations
and contribute to a
healthy industry","• Responsible business
practices, positive brand
image, participation in
policy discussions"
Investors and Shareholders,"• To foster transparency
and accountability about
Britam’s financial and non
– financial performance
• To attract and retain
investors
• To build confidence
among shareholders and
investors","• In – person platforms
• Online platforms
• Annual General Meetings
(AGM)
• Shareholder calls and
meetings
• Conference calls
• Results announcements
and presentations
• Investor roadshows and
conferences
• General investor queries
emails","• Foster trust and deliver
strong returns","• Financial & sustainability
performance, transparent
communication"
