LRC,Column,"LIC
(Shs’000)","Total
(Shs’000)"
"Excluding loss
component
(Shs’000)","Loss
component
(Shs’000)",,
,,,"15,154,379"
,,,"15,154,379"
"(722,246)
(60,744)
(982,045)
(223,248)","-
-
-
-","-
-
-
-","(722,246)"
,,,"(60,744)"
,,,"(982,045)"
,,,"(223,248)"
"(1,988,283)",-,-,"(1,988,283)"
"-
223,248
-
-
-","(24,219)
-
17,008
22,294
289,130","407,883
33,258
(10,119)
-
-",
,,,"383,664"
,,,"256,506"
,,,"6,889"
,,,"22,294"
,,,"289,130"
"223,248","304,213","431,022","958,483"
"(1,765,035)","304,213","431,022","(1,029,800)"
"536,733","28,290","(7,412)","557,611"
"(1,228,302)","332,503","423,610","(472,189)"
"(1,790,139)
4,627,167
-
(19,477)
2,817,551","-
-
-
-
-","1,790,139
-
(2,280,221)
-
(490,082)",-
,,,"4,627,167"
,,,"(2,280,221)"
,,,"(19,477)"
,,,"2,327,469"
"6,625",(49),-,
,,,"6,576"
,,,"17,016,235"
