"Land and
Buildings","Leasehold
improvements","Motor
vehicles","Furniture,
fittings
& office
equipment","Computer
equipment",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"683,465","893,889","128,856","1,188,370","949,981","3,844,561"
-,"35,810","22,981","6,040","63,661","128,492"
-,"(4,386)","(29,837)","(4,150)","(9,682)","(48,055)"
"38,020",-,-,-,-,"38,020"
"14,983","(1,296)",(555),"(5,712)","3,529","10,949"
"736,468","924,017","121,445","1,184,548","1,007,489","3,973,967"
"17,681","622,170","90,920","996,631","860,752","2,588,154"
"14,147","62,883","17,363","46,123","41,523","182,039"
-,-,-,-,"(3,907)","(3,907)"
-,"(3,524)","(29,101)","(2,262)","(1,315)","(36,202)"
376,(916),66,"(2,840)","4,107",793
"32,204","680,613","79,248","1,037,652","901,160","2,730,877"
"704,264","243,404","42,197","146,896","106,329","1,243,090"
