Column,2019,2018
,Shs’000,Shs’000
Kenya,"22,473,063","20,806,743"
Uganda,"1,726,542","1,500,460"
South Sudan,"646,335","434,198"
Rwanda,"376,098","291,643"
Tanzania,"1,181,281","1,019,616"
Malawi,"965,525","806,276"
Mozambique,"406,769","267,076"
Total,"27,775,613","25,126,012"
