2019,"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"13,841,776","13,300,612
(3,772,923)","617,008","16,217
-",-,
,"(254,636)",,-,,-,
,"13,587,140","9,527,689
-
1,129,890
80,078
(285)
954,569
21,685","617,008","16,217
(1,026,134)
10,237
-
-
-
17,082",-,
,"(525,400)",,"(17,308)",,"(74,548)",
,"6,082,450",,"5,748",,"1,250,942",
,"296,375",,"2,587",,"98,621",
,"2,854,707",,"(1,437)",,"1,447,070",
,"45,301",,-,,-,
,"9,700",,"7,148",,"9,639",
,"22,350,273","11,713,626","613,746","(982,598)","2,731,724",
,,"7,242,963
(1,595,014)
-",,"-
-
-",,
,"4,736,857",,-,,-,
,"(94,220)",,-,,-,
,"5,151,919",,-,,-,
,"9,794,556","5,647,949
-
1,800,534
91,148
4,442,665",-,"-
-
-
31,988
144,429",-,
,"3,889,475",,-,,-,
,"1,502,330",,"158,458",,-,
,"107,529",,"24,339",,"649,387",
,"3,402,393",,"587,071",,"358,797",
,"18,696,283","11,982,296","769,868","176,417","1,008,184",
,"3,653,990","(268,670)","(156,122)","(1,159,015)","1,723,540",
,"(31,723)",-,-,-,"(21,376)",
,"3,622,267","(268,670)
75,825
(192,845)","(156,122)","(1,159,015)
(26,165)
(1,185,180)","1,702,164",
,"(1,092,066)",,"31,941",,"(17,933)",
,"2,530,201",,"(124,181)",,"1,684,231",
