Column,Column,Column,"20,291,844","19,605,675",Column,Column
,,,"(2,898,259)","(3,231,953)",,
,,,"17,393,585","16,373,722",,
,,,"929,234","718,537",,
,,,"991,129","1,211,502",,
,,,"4,232,846",,"3,128,5",72
,,,"32,718","209,9",,44
,,,"(2,444,727)","(2,836,2",,11)
,,,"718,839","735,7",,88
,,,"506,590","589,1",,33
,,,"22,360,214","20,130,9",,87
,"ms and loss adjustment expenses 13
rable from reinsurers 13
arial value of policyholders benefits 13",,,,,
,,,"8,987,829","10,250,5",,58
,,,"(1,201,053)","(2,405,9",,47)
,,,"(2,785,611)","2,769,6",,04
,,,"5,001,165","10,614,2",,15
,,,"1,742,978","495,7",,74
,,,"7,094,697","6,716,7",,41
,,,"1,177,264","802,1",,55
,,,"3,547,258","3,291,9",,04
,,,"18,563,362","21,920,7",,89
,,,"3,796,852","(1,789,8",,02)
,,,"442,281","594,8",,64
,,,"4,239,133","(1,194,93",,8)
,,,"(1,758,929)","185,4",,80
oss) for the year,,,"2,480,204","(1,009,45",,8)
,,,"2,436,776","(962,1",,89)
,,,"43,428","(47,2",,69)
,,21,,,,
,,,1.26,(0,,.5)
