Members,"Meetings
Attended","Meetings
eligible to
attend",Percentage
,10,,100%
,6,,60%
,5,,50%
,9,,90%
,9,,90%
,5,,100%
,10,,100%
,5,,50%
,9,,90%
,8,,80%
,8,,80%
,5,,100%
