Note,"External
credit
rating","Internal
Credit
rating","12-month
or lifetime
ECL",2022,2021
,,,,Shs’000,Shs’000
30(i),B+,-,12 months,"22,922,263","8,053,052"
30(ii),B,-,12 months,"1,043,035","1,019,988"
33(i),AA-,-,Life time,"708,150","1,036,605"
29(iii),-,Group 2,12 months,"7,323,519","5,054,402"
31,-,Group 2,12 months,"1,150,370","1,135,847"
32,-,Group 2,Nil,"2,637,719","2,296,455"
33(iii),-,Group 2,Life time,"1,989,928","1,846,973"
34,-,Group 2,Life time,"8,332,650","7,551,390"
37,-,Group 2,"Mix of both
life time &
12 months","2,044,303","2,122,772"
38(i),-,Group 2,12 months,"6,395,013","5,947,575"
38(i),-,Group 2,12 months,"1,734,568","1,677,335"
,,,,"56,281,518","37,742,394"
