Year,Key event
1965,"British-American Insurance Company Ltd, Bahamas, commences operations in Kenya as a branch with the
opening of the first district office in Nairobi, selling home service or debit insurance to the low income market
segment."
1979,Local company incorporated and subsequently assumes the life business portfolio of the branch operations.
1984,"Local Kenyan investors acquire 33.33% of the shareholding in line with government directives. Sale of ordinary
life insurance products commences."
1993,Insurance Company diversifies its product offering by commencing group life insurance and pension business.
1996,"The Insurance Company becomes a fully fledged composite insurance company selling all classes of life and
non life insurance."
2004,"Group is restructured following incorporation of the Company and Asset Management. Through a share swap
both the Insurance Company and Asset Management Company become 100% beneficially owned by the
Company. The Group acquires a strategic equity stake in Equity Bank."
2006,Local investors acquire an additional 30% stake in the Company.
2007,Initial 4.9% stake acquired in Housing Finance Company of Kenya Limited.
2008,"Bonus issue of Ordinary shares of Kshs 50 million and Kshs 100 million for Life Business and General Business
respectively, increasing the total capital of the Insurance Company to Kshs 150 million (Life) and Kshs 300
million (General Business)."
2010,"Britam Insurance Company (Uganda) Limited is incorporated on 26 July 2010 and later licensed by the Uganda
Insurance Commission commencing business on 24 November 2010."
