Column,AGENDA ITEMS,Accept,Reject,"Dissenting
Opinion"
,ORDINARY BUSINESS:,,,
3,"To receive and, if approved, adopt the audited Consolidated Financial
Statements for the year ended 31 December 2022, together with the
Chairman’s, the Directors’ and Auditor’s Reports thereon.",,,
4,"To note that the Directors do not recommend the payment of a dividend
for the financial year ended 31st December 2022.",,,
5,"Directors:
(i) Ms. Josephine Ossiya retires at this meeting in accordance with
Articles 91 & 92 of the Company’s Articles of Association and
being eligible, does not offer herself for re-election.",,,
,"(ii) Dr. Peter K. Munga retires by rotation in accordance with Articles
91 and 92 of the Articles of Association of the Company and
having attained the age of seventy years retires in accordance
with the Code of Corporate Governance Practices for Issuers of
Securities to the Public 2015 and being eligible, offers himself for
re-election as a director of the company.",,,
,"(iii) Mr. Jimnah Mbaru retires by rotation in accordance with Articles
91 and 92 of the Articles of Association of the Company and
having attained the age of seventy years retires in accordance
with the Code of Corporate Governance Practices for Issuers of
Securities to the Public 2015 and being eligible, offers himself for
re-election as a director of the company.",,,
,"(iv) AfricInvest III SPV 1, a Corporate Director represented by Mr.
George Odo that was appointed to fill a casual vacancy retires
in accordance with Article 114 of the Articles of Association of
the Company and being eligible, offers itself for re-election as a
director of the Company.",,,
,"(v) Ms. Celestine Munda who was appointed during the year retires
in accordance with Article 114 of the Company’s Articles of
Association and being eligible, offers herself for re-election.",,,
,"(vi) Mr. Julius Mbaya who was appointed during the year retires
in accordance with Article 114 of the Company’s Articles of
Association and being eligible, offers himself for re-election.",,,
,"(vii) Mr. Lotfi Baccouche who was appointed during the year retires
in accordance with Article 114 of the Company’s Articles of
Association and being eligible, offers himself for re-election.",,,
,"(viii) Ms. Susan Abisola who was appointed during the year retires
in accordance with Article 114 of the Company’s Articles of
Association and being eligible, offers herself for re-election.",,,
,"(ix) Mr. Tom Gitogo who was appointed during the year retires
in accordance with Article 114 of the Company’s Articles of
Association and being eligible, offers himself for re-election.",,,
6,"In accordance to the provisions of Section 769 of the Companies Act
2015, the following directors being members of the Board Audit &
Risk Committee be elected to continue to serve as members of the
said committee: -
(a) Ms. Celestine Munda
(b) Mrs. Caroline Kigen
(c) Ms. Susan Abisola",,,
7,"Directors’ Remuneration: -
(a) To approve the Directors’ Remuneration Policy as shown in the audited
Financial Statements for the year ended 31 December 2022.
(b) To approve the Directors’ Remuneration Report as shown in the audited
Financial Statements for the year ended 31 December 2022 and to authorize
the Board to fix the remuneration of the Directors",,,
8,"To re-appoint PricewaterhouseCoopers (PwC) as auditors in accordance with
Section 721 (2) and 724 of the Companies Act, No.17 of 2015 and to authorize
the Directors to fix their remuneration for the ensuing financial year in accordance
with the provisions of Section 724 (1) of the Companies Act 2015.",,,
