Column,1 January 2019
Description,Shs’000
"Operating lease commitments at 31
December 2018 disclosed under IAS 17","1,033,867"
"Discounted using the Company’s incremental
borrowing rate at 1 January 2019","912,872"
Lease liabilities recognised at 1 January 2019,"849,505"
