"Long-term
business","Short-term
business",Total,"Long-term
business","Short-term
business",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"5,153,584",-,"5,153,584","5,533,522",-,"5,533,522"
"2,459,644",-,"2,459,644","2,196,223",-,"2,196,223"
"3,637,861",-,"3,637,861","3,315,561",-,"3,315,561"
-,"569,736","569,736",-,"1,180,648","1,180,648"
-,"1,444,279","1,444,279",-,"1,298,868","1,298,868"
-,"3,199,246","3,199,246",-,"3,573,036","3,573,036"
-,"3,289,511","3,289,511",-,"3,853,122","3,853,122"
-,"693,935","693,935",-,"697,352","697,352"
-,"912,679","912,679",-,"1,045,325","1,045,325"
"11,251,089","10,109,386","21,360,475","11,045,306","11,648,351","22,693,657"
"(305,624)","(3,194,648)","(3,500,272)","(845,668)","(4,007,563)","(4,853,231)"
"10,945,465","6,914,738","17,860,203","10,199,638","7,640,788","17,840,426"
