Ratio,Calculation methodology,Forecast 2011
General Insurance Business retention ratio,Net earned premiums/gross earned premiums x100,76%
Life Insurance Business retention ratio,Net earned premiums/gross earned premiums x 100,94%
Commission income ratio- general business,Commission earned/ reinsurance premium x100,23%
Commission income ratio- life business,Commission earned/ reinsurance premium x100,22%
Commission expense ratio- general business,Commission expense/Gross earned premium x100,17%
Commission expense ratio- life business,Commission expense/Gross earned premium x100,23%
General insurance business loss ratio,Net claims incurred/net earned premiums x 100,63%
Expense ratio – general business,Expenses /net premiums x 100,16%
Expense ratio – Life business,Expenses /net premiums x 100,30%
