Column,"(1,743,179)","2,130,374
1,680,336","2,299,919",Column,"(607,300)
(388,705)","1,692,6",19
,"(429,483)",,"1,126,020",,,"737,3",15
,"(2,172,662)","3,810,710","3,425,939",,"(996,005)","2,429,9",34
,"907,077","(5,165,113)
3,169,544
2,150,492","(5,706,108)",,"1,217,658
(2,072,558)
(321,756)","(4,488,4",50)
,"(320,505)",,"6,782,337",,,"4,709,7",79
,"(143,144)",,"1,481,205",,,"1,159,4",49
"end of year 5,694,867","(1,729,234)","3,965,633","5,983,373",,"(2,172,661)","3,810,7",12
,,"2,061,920
1,903,712",,,"(1,743,179)
(429,483)",,
,"(1,384,100)",,"3,873,553",,,"2,130,3",74
,"(345,134)",,"2,109,819",,,"1,680,3",36
,"(1,729,234)","3,965,632",5,",983,372","(2,172,662)","3,810,7",10
