Column,2024,Column,Column,2023,Column,Column
,"Non-
onerous
groups of
contracts","Onerous
groups of
contracts",Total,"Non-
onerous
groups of
contracts","Onerous
groups of
contracts",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"Insurance contracts issued
Initially recognised in the
year;
Insurance acquisition
cash flows
Claims and other
cash outflows
Estimates of the present
value of future cash inflows
Risk adjustment for
non-financial risk
Contractual service margin","67,428,785
(68,669,490)
59,529
1,181,176","3,590,235
(3,273,217)
40,089
-",,"1,943,270
(2,132,763)
10,430
179,063","1,173,367
(1,130,456)
9,056
-",
,,,"71,019,020",,,"3,116,637"
,,,"(71,942,707)",,,"(3,263,219)"
,,,"99,618",,,"19,486"
,,,"1,181,176",,,"179,063"
"Losses for the net outflow
recognized on initial
recognition",-,"357,107","357,107",-,"51,967","51,967"
