Group,Column,Company,Column
2021,2020,2021,2020
Shs’000,Shs’000,Shs’000,Shs’000
"4,316,630","3,533,338
1,426,908
624,329
504,742
433,847
375,663
209,720
206,802
255,469
189,122
187,008
98,227
95,834
31,322
31,264
44,980
5,206,685","188,073",
"1,450,143",,"7,377",
"777,619",,"192,573",
"564,235",,"20,289",
"427,898",,"26,389",
"596,255",,"70,132",
"185,331",,"36,879",
"216,505",,-,
"173,958",,"48,290",
"141,251",,"3,989",
"209,592",,"156,978",
"112,226",,"39,694",
"64,750",,"46,191",
"23,536",,197,
"21,253",,317,
"46,733",,"3,866",
"2,000,000",,"2,000,000",
"11,327,916","13,455,260","2,841,234",
