"Fair value
reserve","Revaluation
reserve","Foreign
currency
translation
reserves","General
reserves",Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
"9,692,026","94,747
(338,148)
-
-
-
-
-
-
-","(983,412)","8,309,333
-
(548,189)
30,546
(42,230)
(962,838)
(300,000)
70,159
-","17,112,694"
-,,-,,"(338,148)"
"(1,507,994)",,-,,"(2,056,183)"
-,,-,,"30,546"
-,,-,,"(42,230)"
-,,-,,"(962,838)"
-,,-,,"(300,000)"
-,,-,,"70,159"
-,,"(161,568)",,"(161,568)"
"8,184,032","(243,401)","(1,144,980)","6,856,781","13,352,432"
"8,032,788","330,916
(236,169)
-
-
-
-
-
-","(887,198)","4,280,421
-
603,170
(1,369)
(50,625)
3,433,768
43,968
-","11,756,927"
-,,-,,"(236,169)"
"1,659,238",,-,,"2,262,408"
-,,-,,"(1,369)"
-,,-,,"(50,625)"
-,,-,,"3,433,768"
-,,-,,"43,968"
-,,"(96,214)",,"(96,214)"
"9,692,026","94,747","(983,412)","8,309,333","17,112,694"
