"252,344","252,344"
"13,237,451","13,237,451"
"20,721,208","17,497,992"
"540,484","(1,791,172)"
"34,751,487","29,196,615"
"303,202","267,306"
"35,054,689","29,463,921"
"1,660,885","1,476,608"
"908,416","725,530"
"635,843","671,119"
"11,628,364","9,046,748"
"1,416,635","1,416,635"
"391,440","569,517"
"133,521","160,832"
"16,437,182","16,525,728"
"788,773","957,805"
"1,473,571","1,105,989"
"14,704",‑
"7,463,800","7,755,935"
"112,327,396","79,732,942"
"78,084,620","78,435,049"
"2,788,118","2,145,510"
"442,865","849,580"
"7,186,779","6,956,247"
"243,782,912","208,531,774"
"384,778","101,309"
"192,726,186","163,438,045"
"156,024","590,427"
"785,592","784,972"
"756,844","1,100,586"
"6,296,341","6,666,582"
"7,622,458","6,385,932"
"208,728,223","179,067,853"
"35,054,689","29,463,921"
