Column,2019,2018
,Shs’000,Shs’000
Net cash flows generated from operating activities,"5,251,288","2,204,386"
Net cash flows used in investing activities,"(189,031)","(145,773)"
Net cash flows used in financing activities,"(6,233,850)","(2,712,090)"
Net decrease in cash and cash equivalents,"(1,171,593)","(653,477)"
