Column,"7,386,957",Column,"12,218,718
(2,946,155)","732,533",Column,"-
-",-
,"(285,798)",,,-,,,-
"t revenue
t income from
estment property
erest and dividend
come
t realised gains on
ancial assets
t unrealised fair
alue gains on
nancial assets at fair
alue through profit
r loss
mmissions earned
her operating
come","7,101,159",,"9,272,563
-
797,159
9,108
(129,374)
632,786
565,261","732,533",,"-
70,000
-
-
-",-
,"971,921",,,"15,187",,,"201,776"
,"1,869,6",43,,"19,563",,,"2,568,470"
,"197,5",20,,"3,316",,,-
,"(1,860,067)",,,"(22,535)",,,"(824,235)"
,"103,002",,,-,,,
,,,,,,"-
-",
,"24,046",,,-,,,(174)
t income,"8,407,224",,"11,147,503","748,064",,"70,000","1,945,837"
"urance claims and
s adjustment
xpenses
urance claims
covered from
insurers
ange in actuarial
alue of policyholders
enefits","1,987,016",,"8,263,543
(2,394,314)
-",-,,"-
-
-",-
,"(11,633)",,,,,,-
,,,,-,,,
,"2,769,604",,,-,,,-
"t insurance benefits
nd claims
erest payments/
rease in unit value
quisition expenses
ance costs
penses","4,744,987",,"5,869,229
-
1,505,767
-
3,866,743",-,,"-
-
-
-
34,841",-
,"495,7",74,,,-,,-
,"1,711,5",21,,,"74,616",,-
,-,,,,-,,"802,155"
,"2,035,616",,,,"493,544",,"417,764"
,"8,987,898",,"11,241,739",,"568,160","34,841","1,219,919"
,"(580,674)",,"(94,236)",,"179,904","35,159","725,918"
,"498,223",,-,-,,-,"96,641"
,"(82,451)",,"(94,236)
102,829","179,904",,"35,159
(4,917)","822,559"
,"(11,611)",,,"(63,412)",,,"162,591"
,"(94,062)",,"8,593","116,492",,"30,242","985,150"
