Group,Column,Company,Column
2017,2016,2017,2016
Shs’000,Shs’000,Shs’000,Shs’000
,"6,000,000
600,000
-
1,180,000
996,064
355,516
3,592
244,654
-",,
"6,000,000",,"6,000,000",
"1,780,000",,"1,780,000",
"996,064",,-,
"205,000",,"205,000",
-,,-,
"355,544",,"355,544",
"2,438",,"2,438",
"404,424",,-,
"(1,780,000)",,"(1,780,000)",
"7,963,470","9,379,826","6,562,982",
,"780,000
161,651",,
"780,000",,"780,000",
"231,627",,"231,627",
"1,011,627","941,651","1,011,627",
,"780,000
152,610
244,654",,
"780,000",,"780,000",
"245,131",,"245,131",
"161,016",,-,
"1,186,147","1,177,264","1,025,131",
