Shs’ million,June 2014,June 2013,"%
change"
Share capital/share premium,"3,353","3,353",0
Other reserves,"13,643","8,094",69
"0.6
Retained earnings","5,531","5,059",9
"Kenya 2.6%
Shareholders’ Funds","22,527","16,506",36
"1.0%
Total assets1 .0 %","55,150","42,973",28
Total liabilities,"(32,623)","(26,467)",23
"Tanzania 1.0%
Net Assets","22,527","16,506",36
