2011
Shs’000
"2,442,627"
"(217,312)"
"2,225,315"
"(110,573)"
"(41,543)"
"(16,870)"
717
"(516,795)"
"92,981"
"(2,265,239)"
"(1,102,466)"
"22,388"
"(32,235)"
"251,627"
-
"324,456"
-
"(829,752)"
"(243,737)"
"141,304"
"(202,259)"
"258,373"
"416,044"
"334,439"
"(3,519,140)"
"29,000"
"(87,535)"
"3,526,403"
"(200,000)"
"3,267,868"
"1,974,043"
"914,118"
"1,974,043"
"2,888,161"
