2020,"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"12,372,313","15,827,308
(4,719,360)","711,550","14,411
-",-,
,"(334,628)",,-,,-,
,"12,037,685","11,107,948
-
1,557,000
35,628
88,714
1,105,054
(202,842)","711,550","14,411
(1,042,388)
3,536
-
-
-
(8,413)",-,
,"(1,955,424)",,"(7,653)",,"139,085",
,"7,557,439",,"46,360",,"1,008,412",
,"(103,137)",,-,,"(3,648)",
,"(1,017,051)",,-,,"(2,795,654)",
,"113,350",,-,,-,
,"13,609",,"6,218",,"(17,931)",
,"16,646,471","13,691,502","756,475","(1,032,854)","(1,669,736)",
,,"8,459,057
(2,331,262)
-",,"-
-
-",,
,"5,981,005",,-,,-,
,"(100,109)",,-,,-,
,"6,640,681",,-,,-,
,"12,521,577","6,127,795
-
2,174,972
57,568
4,124,766",-,"-
-
-
9,368
217,233",-,
,"2,759,170",,-,,-,
,"1,449,885",,"177,303",,-,
,"112,295",,"21,548",,"345,437",
,"2,730,593",,"630,763",,"6,120,034",
,"19,573,520","12,485,101","829,614","226,601","6,465,471",
,"(2,927,049)","1,206,401","(73,139)","(1,259,455)","(8,135,207)",
,"(509,700)",-,-,-,"(331,302)",
,"(3,436,749)","1,206,401
(169,630)
1,036,771","(73,139)","(1,259,455)
(209,304)
(1,468,759)","(8,466,509)",
,"1,051,025",,"(32,992)",,"(53,028)",
,"(2,385,724)",,"(106,131)",,"(8,519,537)",
