Group,Column,Company,Column
2021,2020,2021,2020
Shs’000,Shs’000,Shs ‘000,Shs’000
"8,051,262","10,501,818
-",-,
"988,944",,"988,944",
"9,040,206","10,501,818","988,944",
,"3,010,690
3,217,446
4,276,025",,
"2,089,166",,-,
"1,946,192",,-,
"4,017,693",,-,
"8,053,051","10,504,161",-,
"10,504,161","15,058,408
18,932
501,680
(5,074,859)
10,504,161
(2,343)",-,
"49,833",,,
"719,174",,-,
"(3,220,116)",,-,
"8,053,052",,-,
"(1,790)",,-,
"8,051,262","10,501,818",-,
,"494
1,849",,
"2,343",,-,
(553),,-,
"1,790","2,343",-,
