Group,Column,Company,Column
2021,2020,2021,2020
Shs’000,Shs’000,Shs’000,Shs’000
,"(235,243)
-
(1,198,596)
(269,618)
1,504,600
33,812
6,092,075
(181,753)
(333,677)
-
8,730,465
282,866
6,220,193
290,740
28,658
(12,466)",-,
"77,760",,-,
-,,"221,864",
"(2,610,538)",,-,
"(264,265)",,-,
"100,598",,-,
"(26,180)",,-,
"2,698,885",,"2,050,040",
"43,064",,,
"(265,742)",,"(173,286)",
-,,"20,239",
"6,460,596",,-,
"991,648",,-,
"4,095,899",,-,
"49,142",,-,
-,,-,
"(92,129)",,-,
"1,602,478","(1,065,832)","(636,000)",
