Maximum insured loss,Column,Column,Column,Column,Column,Column
Class of business,,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,Shs’000,,Shs’000,Shs’000,Shs’000
"efil ecnarusnI ssenisub derussa
muS
noN
-",,Gross,"132,138,880","350,898,237","4,322,011,997","4,805,049,114"
,,Net,"126,195,609","301,505,240","1,046,847,676","1,474,548,525"
"ssenisub
mret
efiL",Life Savings,Gross,"238,276,872","7,860,978",-,"246,137,850"
,,Net,"237,933,631","2,900,000",-,"240,833,631"
,Life risk,Gross,"300,600,203","43,571,460","226,210,421","570,382,084"
,,Net,"288,123,118","17,295,773","131,784,620","437,203,511"
,"Investments
with DPF",Gross,"5,715,834",-,-,"5,715,834"
,,Net,"5,715,834",-,-,"5,715,834"
Total,,Gross,"676,731,789","402,330,675","4,548,222,418","5,627,284,882"
,,Net,"657,968,192","321,701,013","1,178,632,296","2,158,301,501"
