Column,"Estimates of Present
Value of Future Cash
Flows
Shs 000'","Risk Adjustment for
Non-financial Risk
Shs 000'","CSM
Shs 000'",Total
,,,,Shs 000'
"Opening insurance contract assets
Opening insurance contract liabilities
Net Opening balance","-
56,913,685
56,913,685","-
115,042
115,042","-
773,894
773,894",-
,,,,"57,802,621"
,,,,"57,802,621"
Changes that relate to current services,"(735,030)","(184,163)","(247,397)","(1,166,590)"
"CSM recognized for services provided
Change in risk adjustment for non-financial risk
for risk expired
Experience adjustments not related to future
service","-
-
(735,030)","-
(184,163)
-","(247,397)
-
-","(247,397)"
,,,,"(184,163)"
,,,,"(735,030)"
Changes that relate to future services,"204,778","139,698","(64,024)","280,452"
"Contracts initially recognised in the year
Changes in estimates that adjust the CSM
Changes in estimates that relate to losses and
reversal of losses on onerous contracts","(301,204)
(36,960,191)
37,466,173","20,363
37,305,057
(37,185,722)","280,841
(344,865)
-",-
,,,,1
,,,,"280,451"
Changes that relate to past services,"8,038",921,-,"8,959"
"Changes in estimates in LIC fulfilment cash flows
Experience adjustments in claims and other
insurance service expenses in LIC","8,038
-","921
-","-
-","8,959"
,,,,-
Total insurance service result,"(522,214)","(43,544)","(311,421)","(877,179)"
Insurance finance income or expense,,,,
"The effect of and changes in time of time value of
money and financial risk","6,066,814",9,-,"6,066,823"
Total insurance finance income or expense,"6,066,814",9,-,"6,066,823"
"Total changes in the statement of financial
performance
Cash flows (Actual cashflows in the period)","5,544,600","(43,535)","(311,421)","5,189,644"
"Premiums and premium tax received
Claims and other insurance service expenses
paid, including investment components","14,441,142
(13,026,046)","-
-","-
-","14,441,142"
,,,,"(13,026,046)"
Total Cash flows,"1,415,096",-,-,"1,415,096"
Net Closing balance,"63,873,381","71,507","462,473","64,407,361"
"Closing Insurance contract assets
Closing Insurance contract liabilities","-
63,873,381","-
71,507","-
462,473",-
,,,,"64,407,361"
Net Closing balance,"63,873,381","71,507","462,473","64,407,361"
