Mr. W. Andrew Hollas,Chairman
Dr. Benson I. Wairegi,Group Managing Director
Mr. Jimnah M. Mbaru,
Dr. Peter K. Munga,
Mr. Stephen O. Wandera,
Mr. Mike Y. Laiser,
Mr. Mohamed S. Karama,
Ms. Caroline J. Kigen,
Ms. Marianne Loner,
Mr. George Odo,Appointed 13 July 2018
Mr. Christopher Minter,Appointed 20 December 2018
