Accident year,"2016 and
prior",2017,2018,2019,2020,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,"3,209,124
4,785,081
4,832,681
4,869,582
-",,"5,144,215
6,212,490
-
-
-",,
,"3,127,067",,"5,263,996",,"6,222,322",
,"3,606,283",,"5,551,442",,-,
,"4,087,402",,"6,167,114",,-,
,"4,290,796",,-,,-,
,"4,324,386",,-,,-,
,"4,324,386","4,869,582
350,781
-
(4,401,219)","6,167,114","6,212,490
585,238
-
(5,320,438)","6,222,322",
,"138,809",,"369,338",,"1,888,783",
,"993,584",,-,,-,
,"(4,072,222)",,"(5,490,275)",,"(4,145,786)",
,"1,384,557","819,144","1,046,177","1,477,290","3,965,319",
