Financial asset,Description,Key principles applied
"Cash and bank
balances","Cash assets have been defined as cash in
bank, on hand or in other accounts. These
excludes liquid deposits held with financial
institutions","Britam annually performs the bank credit risk analysis for
banking institutions, within which institutions are scored
and ranked. Institutions are then assigned an internal rating
rank based on the score and assigned a credit ratings with
a macro economic outlook adjustment."
"Deposits
with financial
institutions","Deposits with financial institutions are cash
transfers to financial institutions for the
purposes of a term investment during which
the principal can be redeemed with interest
earned at the call of the investor. This will
exclude any cash in a bank account that is
earning interest on existing balances","Britam annually performs the bank credit risk analysis for
banking institutions, within which institutions are scored
and ranked. Institutions are then assigned an internal rating
rank based on the score and assigned a credit ratings with
a macro economic outlook adjustment."
"Corporate debt at
amortised cost","This is secured or unsecured short term or
long term debt issued by a corporation.","Britam utilizes a scoring methodology while reviewing
corporate debt credit risk that evaluates the financial health
of the issuer and the issue covenants. These scores are
then adjusted with a macroeconomic factor."
"Government
Securities","This is secured or unsecured short term
or long term debt issued by a sovereign
Government","Britam utilizes a scoring methodology while reviewing
sovereign debt credit risk. The scores are adjusted
for credit risk ratings and a macro economic outlook
adjustment."
"Receivables from
direct insurance
arrangements","These are receivable that arise out of
normal insurance business","Britam uses a simplified approach based on an entity’s
historical default rates over the expected life of the
receivables and is adjusted for forward-looking estimates."
Other receivables,"These are all other receivables that are
neither investment assets nor insurance
receivable","These are each assessed individually based on the
unique factors that include the nature, aging, collateral to
determine a loss rate adjusted with a macroeconomic factor"
