Name,Position
Mr. Kuria Muchiru,"Chairman & Independent Non‑Executive Director
(Deceased 19th March 2026)"
Dr. Peter K. Munga,Non‑Executive Director
Mr. Jimnah M. Mbaru,Non‑Executive Director
Mr. George Odo/AfricInvest III SPV 1,Non‑Executive Director
Mr. Edouard Schmid,Non‑Executive Director
Mr. Julius Mbaya Mungai,Independent Non‑Executive Director
Mrs. Celestine Munda,Independent Non‑Executive Director
Ms. Susan Abisola / IFC,Non‑Executive Director
Mr. Lotfi Baccouche,Independent Non‑Executive Director
Ms. Judy Rugasira Kyanda,Independent Non‑Executive Director
Mr. Tom Gitogo,Group Managing Director & CEO
