Strategic Pillar,What this means,"Key Highlights the 2016 – 2020
Strategic Period",Key Lesson Learned
Innovation,"Develop innovative
partnership and
distribution channels
to increase our market
penetration.","• Rolled out digital/mobile channels for
our customers.
• All our financial advisors are utilizing
our FA Portal to service their clients.
• Improved our product/service
through partnerships in order to
further meet our client needs.","• Insurance penetration still remains
low across the markets we serve.
• Exponential growth can only be
achieved through new and different
go-to-market model."
"Operational
Excellence","Improve operational
efficiency and cost to
income ratio.","• Overall reduction in our operating
expenses.
• Data analysis has led to positive
improvement in our medical book.","• Need to review our operating
model to ensure cost structure is
below industry standards.
• Use of data analytics to improve
our Motor Book experience."
"Enabling
Transformation","Create a high
performance, proactive
culture and motivated
team.
Develop an IT ecosystem
that supports a digital
enterprise.","• Institutionalized learning and
innovation through our Britam
Leadership and Innovation Centre.
• Rolled out Work from Home Model
empowered by our technology
platforms.
• Rolled out system upgrades across
most of our functions.","• Yet to fully optimize benefits from
our Major IT Programs.
• Need to adopt more agile
methodology in IT project rollouts."
