Assets,Note,"External
Credit
rating","Internal
Credit
rating","12-month or
lifetime ECL",2021,2020
,,,,,Shs’000,Shs’000
,30,"B+
B
AA-
-
-
-
-
-
-
-
-",-,"12 months
12 months
Life time
12 months
12 months
Nil
Life time
Life time
Mix of both
life time & 12
12 months
12 months","8,053,052",
,30 (ii),,-,,"1,019,988",
,33 (i),,-,,"1,393,831",
,29 (iii),,Group 2,,"5,054,402",
,31,,Group 2,,"1,193,340",
,32,,Group 2,,"2,296,455",
,33 (iii),,Group 2,,"2,375,774",
,34,,Group 2,,"7,551,390",
,37,,Group 2,,"2,122,772",
,38 (i),,Group 2,,"5,947,575",
,38 (i),,Group 2,,"1,677,335",
,,,,,"38,685,914",
