Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"25,370
18,645",,"28,437
3,264",
"145,406",,"69,573",,"268,786"
-,,"4,258",,"26,167"
"145,406","44,015","73,831","31,701","294,953"
,"25,370
1,931",,"12,278
4,762",
"19,662",,"22,072",,"79,382"
"14,469",,"13,857",,"35,019"
"34,131","27,301","35,929","17,040","114,401"
"111,275","16,714","37,902","14,661","180,552"
