Column,Column,Column,"14,042,036
994,281
614,663
1,652,812
1,868,900
-
46,808
3,218,619
1,548,634",Column,Column
,"16,738,404",,,"11,677,5",78
,"1,179,022",,,"994,2",81
,"834,382",,,"614,6",63
,"1,813,158",,,"1,652,8",12
,"1,450,295",,,"1,868,9",00
,,"1,042,825",,,-
,,"46,049",,"46,8",08
,,"3,623,196",,"3,218,6",19
,,"1,300,996",,"1,548,6",34
"28,480,050","28,028,327",,"23,986,753","21,622,2",95
,,,"6,000,000
600,000
-
368,161
2,553,317",,
,"6,000,000",,,"6,000,000",
,"1,780,000",,,"600,000",
,"996,064",,,-,
,"603,762",,,"368,161",
,"2,443,573",,,"2,553,317",
,"11,823,399",,"9,521,478","9,521,478",
