As at 31 December,Column,Column,Column
,,2020,2019
,Notes,Shs’000,Shs’000
,,"252,344",
,,"13,237,451",
,,"13,352,432",
,,"(9,891,877)",
,,"16,950,350",
,,"116,482",
,,"17,066,832",
,,"902,296",
,,"1,874,081",
,,"566,560",
,,"1,481,603",
,,"1,416,635",
,,"536,534",
,,"134,226",
,,"16,443,490",
,,"4,940,442",
,,"76,777,040",
,,"10,501,818",
,,"1,156,003",
,,"1,875,314",
,,"772,340",
,,"1,924,733",
,,"4,940,852",
,,"707,750",
,,"1,957,847",
,,"461,833",
,,"93,074",
,,"7,498,000",
,,"136,962,471",
,,"2,337,628",
,,"42,514,867",
,,"48,736,148",
,,"3,285,010",
,,"6,862,364",
,,"690,003",
,,"1,609,954",
,,"4,854,923",
,,"8,978,247",
,,"26,495",
,,"119,895,639",
,,"17,066,832",
