"928,575"
"(3,459,972)"
"(3,459,972)"
"2,292,036"
"767,080"
"498,555"
"(1,425,528)"
"2,132,143"
"(40,465)"
"(1,368,294)"
"149,935"
"(1,218,359)"
"2,599,110"
"(1,579,833)"
"1,019,277"
"729,493"
