Valuation Method,Valuation Results,Comment
,Kshs 000,
DCF Method incorporating Malawi’s market value,"1,406,905",Moderate
PE Multiples based valuation incorporating Malawi’s market value,,
NAV Multiples based valuation incorporating Malawi’s market value,"931,499",Low
