Column,Group,Column,Company,Column
,2024,2023,2024,2023
,Shs’000,Shs’000,Shs’000,Shs’000
Accrued expenses,"2,475,711","2,188,054","350,793","424,915"
Premiums paid in advance,"141,659","117,311",-,-
Profit share payable,"49,905","65,278",-,-
Accrued dividends payable,-,"38,256",-,912
Staff and agents bonds,"94,444","83,898",-,-
Payables for property funds,"5,683","25,453",-,-
Trade payables,"353,817","602,172",-,-
"Government taxes & statutory
deductions","472,748","406,437","12,986","23,909"
Other liabilities,"1,657,613","1,126,435","4,129","16,526"
Provision for investment losses,"1,415,002","1,523,481","1,415,002","1,523,481"
Total provisions and other payables,"6,666,582","6,176,775","1,782,910","1,989,743"
