Column,Cost Category,Column,Amount Kshs
1. Capital Markets Authority Fee,,"825,330",
2. Lead Transaction Advisory Costs,,"16,609,000",
3. Financial Advisory Costs,,"24,072,000",
4. Sponsoring Broker Costs,,"4,869,449",
5. Legal Advisory Costs,,"14,588,635",
TOTAL,,"60,964,414",
