Column,"Liabilities for
Remaining Coverage",Column,"Liabilities for
Incurred claims",Column,"Total
Shs’000"
Shs’000,"Excluding
loss
component","Loss
component","Estimates
of present
value of
future cash
flows","Risk
adjustment
for non-
financial risk",
"Cash flows (actual cashflows in
the period)",,,,,
Premiums and premium tax paid,"7,455,367",-,-,-,"7,455,367"
Amounts recovered,-,-,"(2,401,599)",-,"(2,401,599)"
Total cash flows,"7,455,367",-,"(2,401,599)",-,"5,053,768"
Effect of currency translation,"(207,532)",(608),"447,669","26,542","266,071"
Net Closing balance,"(1,884,365)","53,472","7,696,493","513,406","6,379,006"
"Closing reinsurance contract
assets
Closing reinsurance contract
liabilities","(1,199,083)
(685,282)","51,246
2,226","7,597,925
98,568","487,163
26,243","6,937,251
(558,245)"
Net Closing balance,"(1,884,365)","53,472","7,696,493","513,406","6,379,006"
