Key Metric,Group,Column,Life,Column,GI Kenya,Column,GI Regions,Column
,2022 2021,,2022,2021,2022,2021,2022,2021
Opex Ratio,32%,44%,21% 26%,,30%,35%,47% 45%,
LossRatio,-,-,- -,,68%,68%,51% 60%,
,,,2022 2021,,2022,2021,,
"Solvency-Life
& GI(K)",-,-,154% 119%,,152%,149%,- -,
