"Items existing as at 1 January 2018
that are subject to the impairment
provisions of IFRS 9",Credit risk attributes at 1 January 2018,"Cumulative additional loss
allowance recognised
on 1 January 2018
Shs ‘000’",Column
,,Group,Company
Cash and bank balances,"Assessed as low credit risk since all cash is held with
selected banks and financial institutions.","19,756",5
Deposits with financial institutions,,"31,069","7,499"
Government securities at amortised cost,"Assessed as low credit risk since all government paper is
with the Government of Kenya which is externally rated.","5,011",-
Mortgage loans receivables,"Assessed as low credit risk since all loans are secured on
the mortgaged property.","(2,478)",-
Corporate bonds at amortised cost,"These items are assessed to at each reporting date
based on their respective external credit ratings where
available and other financial and non-financial information.","65,503",-
Loans to policyholders,"Assessed to have nil credit risk as loans are issued based
on the cumulative surrender values of the policies.","No impairment
due to
existence of
collateral in
cumulative
surrender
values.",-
"Receivables arising out of direct
insurance arrangements","Assessed as low credit risk since a significant portion
of the retail insurance covers are sold on a cash and
carry basis. Credit is extended to corporate clients to
a maximum of 60 days with an option to cancel cover
should indications of default appear. Historical credit
defaults have been factored.","240,008",-
"Receivables arising out of reinsurance
arrangements","Assessed as low credit risk since reinsurance accounts
are contractually cleared on a quarterly basis and
incorporate premium payable and commissions and
claims recoverable.","196,346",-
"Loans and receivables from related
parties","Assessed as low credit risk since all related parties are
under the control of the same Group.",-,78
Other receivables,"Incorporates different counterparties including
staff, agents and others all of which are assessed
independently. The simplified approach has been applied.","141,070",-
Total,,"696,285","7,582"
