Column,2023,Column,Column,2022,Column,Column
,"Non-onerous
groups of
contracts","Onerous
groups of
contracts",Total,"Non-
onerous
groups of
contracts","Onerous
groups of
contracts",Total
,"Shs ""000""","Shs ""000""","Shs ""000""","Shs ""000""","Shs ""000""","Shs ""000"""
"Insurance contracts issued Initially recognised
in the year;",,,,,,
Insurance acquisition cash flows,"38,507","2,359","40,866","55,315",-,"55,315"
Claims and other cash outflows,"4,063,366","68,052","4,131,418","3,306,160","37,814","3,343,974"
"Estimates of the present value of future cash
inflows","(4,986,792)","(33,566)","(5,020,358)","(4,046,624)","(17,967)","(4,064,591)"
Risk adjustment for non-financial risk,"41,388","2,457","43,845","42,163",227,"42,390"
Contractual service margin,"843,531",-,"843,531","642,986",-,"642,986"
"Losses for the net outflow recognized on
initial recognition",-,"39,302","39,302",-,"20,074","20,074"
