For the year ended 31 December,Column,Column,Column
,Notes,2020,2019
,,Shs’000,Shs’000
,,"28,199,619",
,,"(5,053,986)",
,,"23,145,633",
,,"621,540",
,,"(1,470,336)",
,,"9,397,384",
,,"(71,156)",
,,"(2,466,634)",
,,"1,218,404",
,,"(221,887)",
,,"30,152,948",
,,"21,080,743",
,,"(2,431,371)",
,,"18,649,372",
,,"2,759,170",
,,"13,455,260",
,,"361,547",
,,"3,802,160",
,,"39,027,509",
,,"(8,874,561)",
,,"(823,049)",
,,"(9,697,610)",
,,"586,071",
,,"(9,111,539)",
,,"(9,146,743)",
,,"35,204",
,,(3.62),
