OUR PRIMARY REGULATORS,Column,Column
Regulator,Mandate,Issues on Which We Engage
Capital Markets Authority (CMA),"The CMA protects the interest of investors and
publicly listed companies through licensing and
supervising the capital markets industry.",• Corporate Governance
Insurance Regulatory Authority (IRA),"The IRA is mandated to regulate, supervise and
develop the insurance industry in Kenya","• Licensing and Reporting
• Investment
• Claims Handling"
Retirements Benefits Authority (RBA),"The RBA is mandated to regulate and supervise
the establishment and management of
retirement benefits schemes.",• Pension Schemes
Kenya Revenue Authority (KRA),"The KRA is responsible for the efficient
assessment and collection of revenue (taxes) on
behalf of the government.",• Taxation
"National Environment Management
Authority (NEMA)","NEMA is mandated to ensure the natural
resources and environment of Kenya are
managed in a sustainable manner.","• Environmental Impact
Assessments"
