Column,For the year ended,Column
,2017,2016
Notes,Shs’000,Shs’000
,"8,408,442",
,"(466,460)",
,"7,941,982",
,"(122,747)",
,"(434,556)",
,"(756,747)",
,"(1,582,527)",
,"6,436",
,"341,961",
,-,
,"(1,328,014)",
,"652,348",
,-,
,"1,099,877",
,"(10,007,036)",
,"937,895",
,"230,568",
,"(197,655)",
,"297,384",
,"(1,115,251)",
,"999,291",
,"83,583",
,"472,526",
,"288,339",
,"4,263,258",
,"(5,871,067)",
,"3,553,375",
,"(581,525)",
,"205,000",
,"(1,780,000)",
,"(1,011,627)",
,"385,223",
,"2,456,138",
,"5,967,017",
,"8,423,155",
