"9,046,748","2,672,874","584,485","659,790"
"859,583","420,967","56,323","98,276"
"303,683","224,606","25,418","93,467"
"355,425","3,655,189",‑,‑
‑,‑,‑,"(193,396)"
"1,062,925","2,073,112","76,182","(73,652)"
"11,628,364","9,046,748","742,408","584,485"
