Column,Column,% of ownership interest,Column,Column,Column
,,Group,,Company,
Name of entity,"Place of
business/
country of
incorporation",2019,2018,2019,2018
HF Group Plc,Kenya,48.22%,48.22%,19.41%,19.41%
