Column,"189,145"
,"3,164,455"
,"5,745,519"
,"2,900,342"
,"472,863"
Shareholders’ funds,"12,472,324"
"REPRESENTED BY:
Assets
Property and equipment 17
Intangible assets 18
Investment in associate 19
Investment property 21
Available for sale quoted investments 22(i)
Financial assets at fair value through profit or loss:
- quoted ordinary shares 22(ii)
- unquoted ordinary shares 23
- unit trusts 24
- Corporate bonds 25(i)
- government securities 26(i)
Corporate bond held to maturity 25(ii)
Government securities held to maturity 26(ii)
Mortgage loans 27
Loans to policy holders 28
Receivables arising out of reinsurance arrangements
Receivables arising out of direct insurance arrangements
Reinsurers’ share of insurance liabilities 29
Deferred acquisition costs 30
Deferred income tax 31
Tax recoverable
Receivables from related parties 32
Other receivables 33
Deposits with financial institutions 34
Cash and bank balances 34",
,"948,236"
,"113,817"
,"1,459,826"
,"1,706,057"
,"4,937,397"
,"6,084,289"
,"54,009"
,"6,064,687
28,253
176,562"
,"508,358"
,"6,685,780"
,"812,022"
,"309,455"
,"48,912"
,"540,599"
,"2,396,262"
,"131,274"
,"4,198
32,240
5,075"
,"381,130"
,"1,975,913"
,"415,814"
Total assets,"35,820,165"
"Liabilities
Insurance contract liabilities 36
Amount payable under deposit administration contracts 41
Liabilities under investment contracts 42
Unearned premium 43
Creditors arising from reinsurance arrangements
Retirement benefit liability 45
Bank loan 46
Other payables 48
Overdraft 34
Current income tax payable",
,"10,467,211"
,"5,787,072"
,"4,845,527"
,"1,292,195"
,"183,861"
,"14,080"
,-
,"636,282"
,"46,810"
,"74,803"
Total liabilities,"23,347,841"
Net assets,"12,472,324"
