Risk Category,Definition,Areas of Impact
Operational Risk,"Operational risk is the risk that there is loss as a result of inadequate or failed internal processes,
people, technology and external events: Operational risk includes but is not limited to:
• People risk: i.e. losses arising from people
• Process risk: i.e. losses arising from process design and or process implementation
• Systems risk: i.e. losses arising from system failures, obsolescence of infrastructure, deficiency in
integration, inadequacy of networks
• Business Continuity risk: i.e. losses arising from external factors e.g. natural disasters, terrorism
• Legal and Regulatory Compliance: i.e. risk of non-compliance with laws, regulations and
standards which relate to markets, pricing, taxes and regulations. Also the risk that unanticipated
new laws or regulations will result in the need to change business practices that may lead to
financial loss
• Reporting Risk: i.e. losses arising from incorrect, incomplete, inadequate or misleading
disclosure, aggregation, compilation, presentation and distribution of financial and non-financial
information to the Group’s stakeholders.
• Reputation Risk: i.e. the potential that negative publicity regarding an institution’s business
practices, whether true or not, will cause a decline in the customer base, costly litigation or
revenue reductions. This risk may result from the Group’s failure to manage any or all of the other
risk types.
• Information Security Risk: i.e. losses arising from unauthorized access, use, disclosure,
disruption, modification, perusal, inspection, recording or destruction of information or
information systems",All Group Business Lines
Liquidity Risk,"The uncertainty arising from the company’s inability to meet its liabilities when they fall due without
incurring unacceptable losses.","Life Insurance Business
General Insurance|
Business
Asset Management
Business"
Project Risk,Risk related to inability to manage and control large strategic projects,All Group Business Lines
